+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                                                                  ;
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                                                                              ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance31|u_Iteration7                                                                                                   ; 31    ; 5              ; 0            ; 5              ; 26     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance31|u_Iteration6                                                                                                   ; 31    ; 5              ; 0            ; 5              ; 26     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance31|u_Iteration5                                                                                                   ; 31    ; 5              ; 0            ; 5              ; 26     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance31|u_Iteration4                                                                                                   ; 31    ; 5              ; 0            ; 5              ; 26     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance31|u_Iteration3                                                                                                   ; 31    ; 5              ; 0            ; 5              ; 26     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance31|u_Iteration2                                                                                                   ; 31    ; 5              ; 0            ; 5              ; 26     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance31|u_Iteration1                                                                                                   ; 31    ; 5              ; 0            ; 5              ; 26     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance31|u_Iteration                                                                                                    ; 31    ; 5              ; 0            ; 5              ; 26     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance31|u_QuadrantMapper                                                                                               ; 28    ; 0              ; 0            ; 0              ; 26     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance31                                                                                                                ; 27    ; 0              ; 0            ; 0              ; 14     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance30|u_Iteration10                                                                                                  ; 31    ; 18             ; 0            ; 18             ; 26     ; 18              ; 18            ; 18              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance30|u_Iteration9                                                                                                   ; 31    ; 5              ; 0            ; 5              ; 26     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance30|u_Iteration8                                                                                                   ; 31    ; 5              ; 0            ; 5              ; 26     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance30|u_Iteration7                                                                                                   ; 31    ; 5              ; 0            ; 5              ; 26     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance30|u_Iteration6                                                                                                   ; 31    ; 5              ; 0            ; 5              ; 26     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance30|u_Iteration5                                                                                                   ; 31    ; 5              ; 0            ; 5              ; 26     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance30|u_Iteration4                                                                                                   ; 31    ; 5              ; 0            ; 5              ; 26     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance30|u_Iteration3                                                                                                   ; 31    ; 5              ; 0            ; 5              ; 26     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance30|u_Iteration2                                                                                                   ; 31    ; 5              ; 0            ; 5              ; 26     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance30|u_Iteration1                                                                                                   ; 31    ; 5              ; 0            ; 5              ; 26     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance30|u_Iteration                                                                                                    ; 31    ; 5              ; 0            ; 5              ; 26     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance30|u_QuadrantMapper                                                                                               ; 28    ; 0              ; 0            ; 0              ; 26     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance30                                                                                                                ; 27    ; 0              ; 0            ; 0              ; 14     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance29|u_Iteration10                                                                                                  ; 31    ; 18             ; 0            ; 18             ; 26     ; 18              ; 18            ; 18              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance29|u_Iteration9                                                                                                   ; 31    ; 5              ; 0            ; 5              ; 26     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance29|u_Iteration8                                                                                                   ; 31    ; 5              ; 0            ; 5              ; 26     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance29|u_Iteration7                                                                                                   ; 31    ; 5              ; 0            ; 5              ; 26     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance29|u_Iteration6                                                                                                   ; 31    ; 5              ; 0            ; 5              ; 26     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance29|u_Iteration5                                                                                                   ; 31    ; 5              ; 0            ; 5              ; 26     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance29|u_Iteration4                                                                                                   ; 31    ; 5              ; 0            ; 5              ; 26     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance29|u_Iteration3                                                                                                   ; 31    ; 5              ; 0            ; 5              ; 26     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance29|u_Iteration2                                                                                                   ; 31    ; 5              ; 0            ; 5              ; 26     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance29|u_Iteration1                                                                                                   ; 31    ; 5              ; 0            ; 5              ; 26     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance29|u_Iteration                                                                                                    ; 31    ; 5              ; 0            ; 5              ; 26     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance29|u_QuadrantMapper                                                                                               ; 28    ; 0              ; 0            ; 0              ; 26     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance29                                                                                                                ; 27    ; 0              ; 0            ; 0              ; 14     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance28|u_Iteration10                                                                                                  ; 31    ; 18             ; 0            ; 18             ; 26     ; 18              ; 18            ; 18              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance28|u_Iteration9                                                                                                   ; 31    ; 5              ; 0            ; 5              ; 26     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance28|u_Iteration8                                                                                                   ; 31    ; 5              ; 0            ; 5              ; 26     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance28|u_Iteration7                                                                                                   ; 31    ; 5              ; 0            ; 5              ; 26     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance28|u_Iteration6                                                                                                   ; 31    ; 5              ; 0            ; 5              ; 26     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance28|u_Iteration5                                                                                                   ; 31    ; 5              ; 0            ; 5              ; 26     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance28|u_Iteration4                                                                                                   ; 31    ; 5              ; 0            ; 5              ; 26     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance28|u_Iteration3                                                                                                   ; 31    ; 5              ; 0            ; 5              ; 26     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance28|u_Iteration2                                                                                                   ; 31    ; 5              ; 0            ; 5              ; 26     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance28|u_Iteration1                                                                                                   ; 31    ; 5              ; 0            ; 5              ; 26     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance28|u_Iteration                                                                                                    ; 31    ; 5              ; 0            ; 5              ; 26     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance28|u_QuadrantMapper                                                                                               ; 28    ; 0              ; 0            ; 0              ; 26     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance28                                                                                                                ; 27    ; 0              ; 0            ; 0              ; 14     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance27|u_Iteration10                                                                                                  ; 31    ; 18             ; 0            ; 18             ; 26     ; 18              ; 18            ; 18              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance27|u_Iteration9                                                                                                   ; 31    ; 5              ; 0            ; 5              ; 26     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance27|u_Iteration8                                                                                                   ; 31    ; 5              ; 0            ; 5              ; 26     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance27|u_Iteration7                                                                                                   ; 31    ; 5              ; 0            ; 5              ; 26     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance27|u_Iteration6                                                                                                   ; 31    ; 5              ; 0            ; 5              ; 26     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance27|u_Iteration5                                                                                                   ; 31    ; 5              ; 0            ; 5              ; 26     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance27|u_Iteration4                                                                                                   ; 31    ; 5              ; 0            ; 5              ; 26     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance27|u_Iteration3                                                                                                   ; 31    ; 5              ; 0            ; 5              ; 26     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance27|u_Iteration2                                                                                                   ; 31    ; 5              ; 0            ; 5              ; 26     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance27|u_Iteration1                                                                                                   ; 31    ; 5              ; 0            ; 5              ; 26     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance27|u_Iteration                                                                                                    ; 31    ; 5              ; 0            ; 5              ; 26     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance27|u_QuadrantMapper                                                                                               ; 28    ; 0              ; 0            ; 0              ; 26     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance27                                                                                                                ; 27    ; 0              ; 0            ; 0              ; 14     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance26|u_Iteration10                                                                                                  ; 31    ; 18             ; 0            ; 18             ; 26     ; 18              ; 18            ; 18              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance26|u_Iteration9                                                                                                   ; 31    ; 5              ; 0            ; 5              ; 26     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance26|u_Iteration8                                                                                                   ; 31    ; 5              ; 0            ; 5              ; 26     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance26|u_Iteration7                                                                                                   ; 31    ; 5              ; 0            ; 5              ; 26     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance26|u_Iteration6                                                                                                   ; 31    ; 5              ; 0            ; 5              ; 26     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance26|u_Iteration5                                                                                                   ; 31    ; 5              ; 0            ; 5              ; 26     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance26|u_Iteration4                                                                                                   ; 31    ; 5              ; 0            ; 5              ; 26     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance26|u_Iteration3                                                                                                   ; 31    ; 5              ; 0            ; 5              ; 26     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance26|u_Iteration2                                                                                                   ; 31    ; 5              ; 0            ; 5              ; 26     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance26|u_Iteration1                                                                                                   ; 31    ; 5              ; 0            ; 5              ; 26     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance26|u_Iteration                                                                                                    ; 31    ; 5              ; 0            ; 5              ; 26     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance26|u_QuadrantMapper                                                                                               ; 28    ; 0              ; 0            ; 0              ; 26     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance26                                                                                                                ; 27    ; 0              ; 0            ; 0              ; 14     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance25|u_Iteration10                                                                                                  ; 31    ; 18             ; 0            ; 18             ; 26     ; 18              ; 18            ; 18              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance25|u_Iteration9                                                                                                   ; 31    ; 5              ; 0            ; 5              ; 26     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance25|u_Iteration8                                                                                                   ; 31    ; 5              ; 0            ; 5              ; 26     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance25|u_Iteration7                                                                                                   ; 31    ; 5              ; 0            ; 5              ; 26     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance25|u_Iteration6                                                                                                   ; 31    ; 5              ; 0            ; 5              ; 26     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance25|u_Iteration5                                                                                                   ; 31    ; 5              ; 0            ; 5              ; 26     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance25|u_Iteration4                                                                                                   ; 31    ; 5              ; 0            ; 5              ; 26     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance25|u_Iteration3                                                                                                   ; 31    ; 5              ; 0            ; 5              ; 26     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance25|u_Iteration2                                                                                                   ; 31    ; 5              ; 0            ; 5              ; 26     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance25|u_Iteration1                                                                                                   ; 31    ; 5              ; 0            ; 5              ; 26     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance25|u_Iteration                                                                                                    ; 31    ; 5              ; 0            ; 5              ; 26     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance25|u_QuadrantMapper                                                                                               ; 28    ; 0              ; 0            ; 0              ; 26     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance25                                                                                                                ; 27    ; 0              ; 0            ; 0              ; 14     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance24|u_Iteration10                                                                                                  ; 31    ; 18             ; 0            ; 18             ; 26     ; 18              ; 18            ; 18              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance24|u_Iteration9                                                                                                   ; 31    ; 5              ; 0            ; 5              ; 26     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance24|u_Iteration8                                                                                                   ; 31    ; 5              ; 0            ; 5              ; 26     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance24|u_Iteration7                                                                                                   ; 31    ; 5              ; 0            ; 5              ; 26     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance24|u_Iteration6                                                                                                   ; 31    ; 5              ; 0            ; 5              ; 26     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance24|u_Iteration5                                                                                                   ; 31    ; 5              ; 0            ; 5              ; 26     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance24|u_Iteration4                                                                                                   ; 31    ; 5              ; 0            ; 5              ; 26     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance24|u_Iteration3                                                                                                   ; 31    ; 5              ; 0            ; 5              ; 26     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance24|u_Iteration2                                                                                                   ; 31    ; 5              ; 0            ; 5              ; 26     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance24|u_Iteration1                                                                                                   ; 31    ; 5              ; 0            ; 5              ; 26     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance24|u_Iteration                                                                                                    ; 31    ; 5              ; 0            ; 5              ; 26     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance24|u_QuadrantMapper                                                                                               ; 28    ; 0              ; 0            ; 0              ; 26     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance24                                                                                                                ; 27    ; 0              ; 0            ; 0              ; 14     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance23|u_Iteration10                                                                                                  ; 31    ; 18             ; 0            ; 18             ; 26     ; 18              ; 18            ; 18              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance23|u_Iteration9                                                                                                   ; 31    ; 5              ; 0            ; 5              ; 26     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance23|u_Iteration8                                                                                                   ; 31    ; 5              ; 0            ; 5              ; 26     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance23|u_Iteration7                                                                                                   ; 31    ; 5              ; 0            ; 5              ; 26     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance23|u_Iteration6                                                                                                   ; 31    ; 5              ; 0            ; 5              ; 26     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance23|u_Iteration5                                                                                                   ; 31    ; 5              ; 0            ; 5              ; 26     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance23|u_Iteration4                                                                                                   ; 31    ; 5              ; 0            ; 5              ; 26     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance23|u_Iteration3                                                                                                   ; 31    ; 5              ; 0            ; 5              ; 26     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance23|u_Iteration2                                                                                                   ; 31    ; 5              ; 0            ; 5              ; 26     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu|index_fft_0|u0|u_frequency_max|u_index_finder|u_for_each_instance23|u_Iteration1                                                                                                   ; 31    ; 5              ; 0            ; 5              ; 26     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
